epoch,train_loss_d,train_loss_g,val_loss_d,val_loss_g,val_aux_acc,lr_g,lr_d
0,786.9742701444648,97.81473203604205,-244.91282006019358,201.19449234214613,0.9299825682742592,0.0002,0.0002
1,-190.76658019742553,144.02472057646662,-282.87699676270483,85.41677792402604,0.9779198140615921,0.0002,0.0002
2,-215.2317452137454,129.1917199675749,-306.1967864113744,91.58077590428141,0.996970200049805,0.0002,0.0002
3,-209.40546766663468,105.64167879925773,-328.92837789134484,61.20346791249267,0.9972607288121524,0.0002,0.0002
4,-287.26080458147925,110.04596540325052,-354.1419418758007,55.298963454053286,1.0,0.0002,0.0002
5,-290.43506961205554,99.5692014064224,-311.6496795105857,-13.34170128353762,0.8739935253590105,0.0002,0.0002
6,-269.998309974111,78.36029439091953,-419.2221940319954,59.68327748707204,1.0,0.0002,0.0002
7,-299.91973502435013,54.12394968686723,-339.60206017914163,5.152049741354524,1.0,0.0002,0.0002
8,-275.76182593082785,61.01448533203716,-313.2612365832851,-33.755860460104365,1.0,0.0002,0.0002
9,-284.8046204908019,57.99328887951401,-353.8643182802173,30.61752699675615,1.0,0.0002,0.0002
10,-268.0376217544486,54.17862086802517,-310.1716353368233,-29.517179792764683,1.0,0.0002,0.0002
11,-263.7153560919751,55.666543936912724,-337.7422563914314,23.822758612399618,1.0,0.0002,0.0002
12,-268.8588715989932,53.67508425650129,-320.1524857015761,3.628032719452193,1.0,0.0002,0.0002
13,-269.1181667356122,49.747904481336576,-369.13565084375546,49.61278115833232,1.0,0.0002,0.0002
14,-266.8246865761307,55.76248838238266,-398.9540334311899,70.04233895098608,1.0,0.0002,0.0002
15,-281.6780387861039,54.18990062024436,-337.72971243742364,24.82099816143498,1.0,0.0002,0.0002
16,-250.5024228375702,55.40435237792195,-334.2766614413473,31.20083167418965,0.9996264630198389,0.0002,0.0002
17,-223.46612265115448,53.086970447136224,-299.7528102339932,47.29518737549147,0.931352203868183,0.0002,0.0002
18,-213.78211334626062,65.352542563,-316.28150289254813,67.79469238709362,1.0,0.0002,0.0002
19,-215.7599357458888,56.83877592304709,-313.16407175983164,40.02887556898631,1.0,0.0002,0.0002
20,-226.9337308097266,61.96431150847456,-286.8708872265902,14.598123008545636,0.9999169917821864,0.0002,0.0002
21,-201.89670788861625,59.071626953763676,-331.48055282944887,82.42219434992113,0.9997509753465593,0.0002,0.0002
22,-221.5246939105162,55.222482683404365,-313.11914744408404,54.26855777429527,0.9999584958910932,0.0002,0.0002
23,-247.86378669304293,62.42370234928804,-326.4535764068986,44.85796606755409,1.0,0.0002,0.0001
24,-269.16329520818584,61.67665612928417,-339.63842607670585,49.60847241245009,1.0,0.0002,0.0001
25,-226.52064163701138,92.8308069103128,-295.41015188084646,77.55441104804687,1.0,0.0001,0.0001
26,-226.0731723531232,100.934442602692,-314.3759925299545,100.64917334645796,1.0,0.0001,0.0001
27,-229.64785522100323,113.4880036721197,-318.6196070870809,133.86547884304235,1.0,0.0001,0.0001
28,-231.7767761443362,121.20008958390743,-306.6615366840339,85.28419486756165,1.0,0.0001,0.0001
29,-228.69830388740417,118.1302955992401,-312.6862461533083,118.05392355090446,1.0,0.0001,0.0001
30,-218.24066157547378,121.70922311726355,-322.3858499679762,127.58557431656483,1.0,0.0001,0.0001
31,-226.35731755302274,114.52455756984702,-312.4063682343996,113.5123632867534,1.0,0.0001,0.0001
32,-225.77056057523757,101.64419407507825,-306.81244106804115,104.06485642964903,1.0,0.0001,0.0001
33,-218.17574975485138,106.81389519293921,-324.0690477785554,102.56501621415113,1.0,0.0001,0.0001
34,-226.44433744078617,102.43716760105316,-300.3762209811448,91.62975204029529,1.0,0.0001,0.0001
35,-221.20541998791532,108.49733540137427,-308.594310686085,87.48367046868543,1.0,0.0001,0.0001
36,-225.7913796524252,101.6713817157615,-307.9506736873165,122.79549020460021,1.0,0.0001,0.0001
37,-226.24843734706454,99.82628796244536,-298.1947190443134,50.77525289723455,1.0,0.0001,0.0001
38,-223.60007989053574,108.26972929274574,-320.074137870945,45.04984446593891,1.0,0.0001,0.0001
0,5156.26785259717,26.704050560988172,-715.4975178199825,-102.23514781500357,0.4412503202664617,0.0002,0.0002
1,-684.2293226483843,-34.91187198569237,-710.555491761333,-156.7885750905691,0.9792979759159621,0.0002,0.0002
2,-708.7344089131959,-44.92116929149964,-686.495771237138,-192.37672788379072,0.9965923648475532,0.0002,0.0002
3,-723.2777478876249,-36.559796093383305,-631.007101351293,-19.263115827505203,0.9536254163464002,0.0002,0.0002
4,-713.1973732088653,-51.90131728558893,-620.3220078495933,-96.06293272438215,0.9348962336664105,0.0002,0.0002
5,-740.6383422959019,-29.741262116818362,-1003.6472566417447,148.47805789162678,0.9994619523443505,0.0002,0.0002
6,-767.0470941892812,29.0195511346132,-816.5869213889081,65.1393961550424,0.927978478093774,0.0002,0.0002
7,-846.0300959627393,58.974808893562624,-813.2940298187467,-60.146977632362784,1.0,0.0002,0.0002
8,-824.7039172535211,-6.5563625590062475,-929.7610409204208,2.01655810545751,1.0,0.0002,0.0002
9,-760.5326378231317,-28.00711496195323,-817.9465653306363,-86.69481300326638,0.9666666666666667,0.0002,0.0002
10,-798.0297552619182,-6.098768327731482,-886.9161016403148,-16.63083451926143,0.9982065078145017,0.0002,0.0002
11,-746.6511847697514,-40.91547828909062,-649.5039356510241,-181.94092587532828,0.9984883423007943,0.0002,0.0002
12,-792.772894297855,-7.545594791963067,-1086.4842917056992,144.69073192802662,0.9998462720983858,0.0002,0.0002
13,-902.3862705418761,139.59226303940088,-764.0309072030742,35.564847415989554,0.6911862669741224,0.0002,0.0002
14,-993.6463932950732,122.7959237980171,-923.9199046121998,168.57073191379604,0.9999743786830643,0.0002,0.0002
15,-879.6226050685829,114.43601093720382,-915.3186009017315,55.49228063940605,0.6849090443248783,0.0002,0.0002
16,-911.2627374568456,85.70059377861695,-928.4804947810328,95.57435197258435,0.9999487573661286,0.0002,0.0002
17,-859.9833705096178,45.23257048163615,-813.5489729619105,-91.1616291973672,1.0,0.0002,0.0002
18,-851.5679648197872,40.21428499633158,-895.7115149202574,-19.37770806228751,0.9210863438380733,0.0002,0.0002
19,-720.3350182976521,-17.169859075882066,-931.8141234952793,23.596270719015564,1.0,0.0001,0.0002
20,-733.5504669793895,11.04968673847091,-679.2417400230116,-72.25088631370694,0.9978221880604663,0.0001,0.0002
21,-728.3933996925891,15.862719863632195,-687.471357631268,-128.14367685192462,0.9531386113246221,0.0001,0.0002
22,-752.0710658865916,11.544310130976456,-787.3366213955636,-27.38353424429008,0.9362285421470664,0.0001,0.0002
23,-727.4003868425397,-13.907340337860752,-698.0316503987567,-142.37035282046068,0.9983089930822444,0.0001,0.0002
24,-816.433453820457,50.97007260406521,-797.4373303565129,-109.76204655659129,0.8677940046118371,0.0001,0.0002
25,-712.9248459936867,68.12385667067178,-498.0522352175135,5.7158227030142985,0.761260568793236,0.0001,0.0002
26,-609.2346350871342,20.113208412872233,-577.9229189075936,-24.09259090223222,0.5270048680502177,0.0001,0.0002
27,-583.6583654054454,-15.285395536498285,-660.9108315204187,-38.88389909498942,0.9913656161926723,0.0001,0.0002
28,-583.7573810846034,-45.839384115287956,-648.7247641686321,-169.6051380733145,0.5368434537535229,0.0001,0.0002
29,-661.9287748095015,-18.875517571140342,-666.1415037842735,-60.34785658549016,0.8584166026133744,0.0001,0.0001
30,-664.5780090332031,14.104307979009521,-607.7050630663774,21.54720049815822,0.8735588009223674,0.0001,0.0001
31,-679.3782438896071,16.334445243958438,-714.9568121708511,-3.275751452845486,0.9966179861644888,0.0001,0.0001
32,-645.7456357284331,2.1094173782937964,-665.7770668938745,-51.69713308196052,0.9542403279528567,0.0001,0.0001
